#,sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,desercion
338,1682,0,1,0,2,0,0,1,-1,-1,303,0,0,1,2,False
339,3632,1,1,0,8,0,0,1,-1,-1,438,0,0,2,1,False
340,3709,1,1,0,8,0,0,1,-1,-1,516,1,0,0,2,False
341,3689,1,1,0,8,0,0,1,-1,-1,469,0,0,2,-1,False
342,3686,1,1,0,8,0,0,1,-1,-1,536,0,0,0,0,False
343,3763,1,1,0,8,0,0,1,-1,-1,546,0,0,0,0,False
344,3693,0,1,0,8,0,0,1,-1,-1,151,0,0,1,0,False
345,3758,1,1,0,8,0,0,1,-1,-1,520,0,0,1,0,False
346,3664,0,1,0,8,0,0,1,-1,-1,379,0,0,0,2,False
347,3712,0,1,0,8,1,0,1,-1,-1,386,0,0,0,0,False
348,3016,1,1,0,8,0,0,1,0,-1,1446,0,0,0,0,False
349,3696,1,1,0,8,0,0,1,-1,-1,461,0,0,1,2,False
350,3679,1,1,0,8,0,0,1,-1,-1,494,0,0,2,1,False
351,3009,1,1,0,8,0,0,1,0,-1,1445,1,1,2,0,False
352,3741,1,1,0,8,1,0,2,-1,-1,633,0,0,0,0,False
353,3711,1,1,0,8,0,0,1,-1,-1,486,0,0,0,1,False
354,3713,0,1,0,8,0,0,1,0,-1,497,0,0,1,0,False
355,3713,0,1,0,8,0,0,1,0,-1,497,0,0,1,0,False
356,3139,1,1,0,8,0,0,1,0,-1,1329,1,0,1,0,False
357,3716,1,1,0,8,0,0,1,-1,-1,493,0,0,0,1,False
358,2729,1,1,0,7,0,0,1,-1,-1,717,0,0,0,0,False
359,2836,1,1,0,7,0,1,1,0,-1,1208,0,0,1,0,False
360,2736,0,1,0,13,0,0,1,0,-1,1100,0,0,1,0,False
361,2757,1,1,0,7,0,0,1,-1,-1,739,0,0,0,0,False
362,2726,0,1,0,7,0,0,1,-1,-1,1207,0,0,0,0,False
363,2061,1,1,0,7,0,0,1,-1,-1,240,0,0,1,1,False
364,2714,1,1,0,7,0,1,1,0,-1,165,0,0,0,2,False
365,2050,1,0,0,7,0,0,1,-1,-1,130,0,0,1,0,False
366,2746,0,1,0,13,0,1,1,0,-1,1443,1,1,0,-1,False
367,2173,0,1,0,7,0,0,1,-1,-1,238,0,0,1,0,False
368,2187,1,1,0,7,0,0,1,1,-1,242,0,0,0,0,False
369,2716,1,1,0,7,0,0,1,0,-1,735,0,0,0,0,False
370,3620,1,1,0,7,0,0,1,-1,-1,392,0,0,1,1,False
